station_id,neighbor_station_id,rank,distance_km
39,13,2,0.41009825416947787
39,114,3,0.505352219906023
39,41,4,0.5815229404150656
39,11,5,0.6763691618909473
40,77,1,0.1099512571684592
40,29,2,0.29049495269991044
40,31,3,0.3375125803518576
40,10,4,0.4769286121393492
40,3,5,0.47853314006849784
41,11,1,0.18078223475273192
41,55,2,0.33826309810567456
41,5,3,0.3407183105745306
41,53,4,0.566794521021924
41,39,5,0.5815229404150656
42,50,1,0.1819506650432607
42,35,2,0.20802139315579493
42,88,3,0.3910138099636374
42,101,4,0.5269559600974912
42,103,5,0.5686309733425353
43,34,1,0.3211922859923088
43,18,2,0.5328296454252407
43,71,3,0.8518971666755193
43,54,4,0.8655793665030931
43,5,5,0.8755260995933014
44,60,1,0.13560388949035976
44,59,2,0.32482372491128325
44,61,3,0.3265311735961055
44,28,4,0.32908821290684637
44,78,5,0.49477632118960024
45,38,1,0.2636984600809154
45,23,2,0.3598152619249981
45,16,3,0.5560342777789851
45,24,4,0.5896993755745322
45,111,5,0.5955938223693302
47,19,1,0.14592147982426493
47,20,2,0.303663968157129
47,114,3,0.39102112912980963
47,25,4,0.4258075309959172
47,113,5,0.4687513046378599
48,62,1,0.20803478924939142
48,99,2,0.24749239153763272
48,49,3,0.367897958598573
48,8,4,0.42295961205054566
48,64,5,0.43262533017045013
49,65,1,0.27243943203034365
49,62,2,0.36195724812872776
49,48,3,0.367897958598573
49,68,4,0.5956597686102867
49,99,5,0.5975506414856551
50,42,1,0.1819506650432607
50,88,2,0.26760856918491593
50,35,3,0.3264216163249841
50,103,4,0.5049045934635664
50,104,5,0.5662260471434779
51,1,1,0.30138165976032144
51,52,2,0.30600974760953326
51,37,3,0.3634398674364129
51,17,4,0.3739757534090768
51,71,5,0.37617335071589675
52,37,1,0.1402004261692839
52,53,2,0.23919657827397472
52,1,3,0.24713157261665417
52,51,4,0.30600974760953326
52,54,5,0.3225824624157654
53,37,1,0.16056663170157232
53,52,2,0.23919657827397472
53,54,3,0.2925055353324456
53,55,4,0.34437516997638445
53,11,5,0.3909365476620753
54,37,1,0.19709224514439766
54,53,2,0.2925055353324456
54,52,3,0.3225824624157654
54,55,4,0.3347502364090951
54,18,5,0.3446712831902112
55,11,1,0.24715116526130979
55,54,2,0.3347502364090951
55,41,3,0.33826309810567456
55,53,4,0.34437516997638445
55,5,5,0.3787893337314784
56,58,1,0.17110368267175835
56,57,2,0.31084764706182505
56,47,3,0.5056959362790286
56,70,4,0.5287900782171937
56,25,5,0.5805936676367117
57,25,1,0.3082231562618197
57,56,2,0.31084764706182505
57,58,3,0.3510583787861934
57,63,4,0.3826615004584988
57,47,5,0.47235153683767445
58,56,1,0.17110368267175835
58,57,2,0.3510583787861934
58,69,3,0.4364412866184143
58,70,4,0.44052974581626114
58,25,5,0.6560042903304368
59,61,1,0.2585032717416686
59,28,2,0.3212835702941263
59,44,3,0.32482372491128325
59,15,4,0.33623006683667994
59,24,5,0.395853079836113
60,44,1,0.13560388949035976
60,28,2,0.4174983285393074
60,61,3,0.4294523439648205
60,59,4,0.4604101508112634
60,78,5,0.49873535239544803
61,15,1,0.21882832897484886
61,59,2,0.2585032717416686
61,79,3,0.2886287091489817
61,44,4,0.3265311735961055
61,78,5,0.3695699951292498
62,48,1,0.20803478924939142
62,99,2,0.2940851730451106
62,49,3,0.36195724812872776
62,64,4,0.40852742863238894
62,8,5,0.5375305854627382
63,25,1,0.22182413409092616
63,113,2,0.37583524733637586
63,57,3,0.3826615004584988
63,64,4,0.42201062833123315
63,32,5,0.5208101528351545
64,99,1,0.19471899554491756
64,8,2,0.3134909823727155
64,32,3,0.37584609244542394
64,62,4,0.40852742863238894
64,63,5,0.42201062833123315
65,49,1,0.27243943203034365
65,68,2,0.3990735749156087
65,66,3,0.4203984873902321
65,69,4,0.5335856707221474
65,62,5,0.5823997478862822
66,90,1,0.3595753812313754
66,65,2,0.4203984873902321
66,68,3,0.42724550306814985
66,67,4,0.4334920789518511
66,117,5,0.5084736021909685
67,117,1,0.37035350857442706
67,90,2,0.41702878745956956
67,66,3,0.4334920789518511
67,91,4,0.5612264720148085
67,68,5,0.7631651769062342
68,69,1,0.2372432267610999
68,65,2,0.3990735749156087
68,90,3,0.4109436477280704
68,66,4,0.42724550306814985
68,49,5,0.5956597686102867
69,68,1,0.2372432267610999
69,58,2,0.4364412866184143
69,70,3,0.5251758520456434
69,65,4,0.5335856707221474
69,90,5,0.6059813190686614
70,58,1,0.44052974581626114
70,69,2,0.5251758520456434
70,56,3,0.5287900782171937
70,68,4,0.6458017012612803
70,91,5,0.7237042010547078
71,17,1,0.33779262122417575
71,51,2,0.37617335071589675
71,18,3,0.47548755878619664
71,54,4,0.558187840554335
71,37,5,0.6343932460063526
72,7,1,0.2382407560851552
72,73,2,0.242960237283753
72,74,3,0.38343585570596556
72,35,4,0.5220356552131772
72,4,5,0.6256486420363262
73,7,1,0.16603362783757
73,72,2,0.242960237283753
73,6,3,0.5853276287250399
73,4,4,0.588158457972542
73,74,5,0.6214503698477689
74,72,1,0.38343585570596556
74,35,2,0.4940246886227629
74,88,3,0.5586657237162788
74,7,4,0.6071195608848767
74,73,5,0.6214503698477689
75,76,1,0.13165484413812353
75,87,2,0.5065994519948593
75,100,3,0.6546669055518257
75,80,4,0.6576876922826721
75,86,5,0.6995581947157469
76,75,1,0.13165484413812353
76,80,2,0.5963300698011711
76,87,3,0.6342105328993516
76,100,4,0.7221017106335658
76,86,5,0.7800182930067462
77,40,1,0.1099512571684592
77,29,2,0.3182040893340014
77,31,3,0.34532963441471043
77,3,4,0.36951913337355247
77,10,5,0.5451370135091419
78,79,1,0.22255511072292958
78,61,2,0.3695699951292498
78,44,3,0.49477632118960024
78,60,4,0.49873535239544803
78,15,5,0.5007450276873583
79,78,1,0.22255511072292958
79,61,2,0.2886287091489817
79,2,3,0.3189823475948916
79,15,4,0.3211936669564781
79,12,5,0.48039185497354464
80,82,1,0.4715838233198022
80,95,2,0.536205614853791
80,76,3,0.5963300698011711
80,100,4,0.645864628996614
80,75,5,0.6576876922826721
