segment,scenario,model,feature,importance
weekday,events_only,RandomForest,num__lag_1h_total_count,0.05433376152826049
weekday,events_only,RandomForest,num__hour_cos,0.04327273294092915
weekday,events_only,RandomForest,num__lon,0.043114680080264575
weekday,events_only,RandomForest,num__lat,0.036134194717846964
weekday,events_only,RandomForest,num__station_id,0.03343478461873252
weekday,events_only,RandomForest,num__msl,0.031520212566338766
weekday,events_only,RandomForest,num__rhum,0.025021509435330592
weekday,events_only,RandomForest,num__hour,0.01994754954778844
weekday,events_only,RandomForest,num__temp,0.01933114296703919
weekday,events_only,RandomForest,num__days_to_next_event,0.015838148889448997
weekday,events_only,RandomForest,num__hour_sin,0.01566335803083066
weekday,events_only,RandomForest,num__wetb,0.014930229500505278
weekday,events_only,RandomForest,num__day_of_week,0.014167189440657106
weekday,events_only,RandomForest,num__dewpt,0.011999068926292848
weekday,events_only,RandomForest,num__vappr,0.01107967590287689
weekday,events_only,RandomForest,num__days_since_prev_event,0.010870775282899016
weekday,events_only,RandomForest,num__month,0.004198090507088372
weekday,events_only,RandomForest,num__is_peak,0.003664800653600604
weekday,events_only,RandomForest,num__rain,0.003487710073235309
weekday,events_only,RandomForest,num__rain_lag1h,0.0015689167797096947
weekday,events_only,RandomForest,num__rain_category,0.0007942640515395533
weekday,events_only,RandomForest,cat__temp_category_10-20,0.0005656561989880848
weekday,events_only,RandomForest,num__is_school_break,0.0003629994947458234
weekday,events_only,RandomForest,num__event_weight,0.00034220029062552855
weekday,events_only,RandomForest,num__is_public_holiday,0.0002448506046191916
weekday,events_only,RandomForest,cat__temp_category_<10,0.000182723044064877
weekday,events_only,RandomForest,cat__temp_category_>20,0.00015092285348217299
weekday,events_only,RandomForest,num__is_weekend,0.0
weekday,events_only,RandomForest,num__is_major_event,0.0
weekend,events_only,RandomForest,num__lag_168h_total_count,0.196853004456797
weekend,events_only,RandomForest,num__lag_1h_total_count,0.17681916533999067
weekend,events_only,RandomForest,num__lag_24h_total_count,0.10869183129820674
weekend,events_only,RandomForest,num__lat,0.06807787697160521
weekend,events_only,RandomForest,num__lon,0.06414117348033717
weekend,events_only,RandomForest,num__station_id,0.058870944169708166
weekend,events_only,RandomForest,num__msl,0.051124038441238896
weekend,events_only,RandomForest,num__rhum,0.03942687097840462
weekend,events_only,RandomForest,num__temp,0.0349637605141427
weekend,events_only,RandomForest,num__hour_cos,0.033397968044398964
weekend,events_only,RandomForest,num__wetb,0.02705370145383383
weekend,events_only,RandomForest,num__hour,0.02613044694366108
weekend,events_only,RandomForest,num__dewpt,0.020037679093998718
weekend,events_only,RandomForest,num__days_to_next_event,0.019798462652265703
weekend,events_only,RandomForest,num__vappr,0.01782910450138657
weekend,events_only,RandomForest,num__hour_sin,0.015995404613568413
weekend,events_only,RandomForest,num__days_since_prev_event,0.013564196638626173
weekend,events_only,RandomForest,num__day_of_week,0.007125726408283079
weekend,events_only,RandomForest,num__month,0.005141380695681893
weekend,events_only,RandomForest,num__rain,0.00395273967275814
weekend,events_only,RandomForest,num__is_peak,0.0023368209053395935
weekend,events_only,RandomForest,num__rain_lag1h,0.0023253430858395253
weekend,events_only,RandomForest,num__event_weight,0.0016111800523623465
weekend,events_only,RandomForest,num__rain_category,0.0012716009818286359
weekend,events_only,RandomForest,num__is_school_break,0.0009892671013262315
weekend,events_only,RandomForest,num__is_major_event,0.0009814944718377432
weekend,events_only,RandomForest,cat__temp_category_10-20,0.0009361834905800307
weekend,events_only,RandomForest,cat__temp_category_>20,0.00029632509950043665
weekend,events_only,RandomForest,cat__temp_category_<10,0.0002563084424917573
weekend,events_only,RandomForest,num__is_weekend,0.0
weekend,events_only,RandomForest,num__is_public_holiday,0.0
weekday,full,RandomForest,num__cluster_demand_lag_24h,0.349207754186082
weekday,full,RandomForest,num__lag_168h_total_count,0.2108838356710305
weekday,full,RandomForest,num__lag_24h_total_count,0.08682893553935057
weekday,full,RandomForest,num__cluster_demand_lag_1h,0.04284658703760955
weekday,full,RandomForest,num__lag_1h_total_count,0.02925499525259152
weekday,full,RandomForest,num__lon,0.023084126940139695
weekday,full,RandomForest,num__lat,0.02292543253709211
weekday,full,RandomForest,num__station_id,0.022231914790210097
weekday,full,RandomForest,num__msl,0.018229039044218426
weekday,full,RandomForest,num__neighbor_mean_lag_24h,0.01754550974398012
weekday,full,RandomForest,num__neighbor_mean_lag_1h,0.017261162711481846
weekday,full,RandomForest,num__neighbor_sum_lag_1h,0.017248255386198126
weekday,full,RandomForest,num__neighbor_sum_lag_24h,0.01715910738589519
weekday,full,RandomForest,num__rhum,0.014745886107968788
weekday,full,RandomForest,num__hour,0.0119504920318292
weekday,full,RandomForest,num__temp,0.011797677285348267
weekday,full,RandomForest,num__day_of_week,0.01128611629346242
weekday,full,RandomForest,num__hour_sin,0.0112663032378364
weekday,full,RandomForest,num__days_to_next_event,0.009335816770663434
weekday,full,RandomForest,num__wetb,0.008789255746792993
weekday,full,RandomForest,num__days_since_prev_event,0.007122079017978146
