scenario,segment,model,station_id,n,mae,rmse,mean_true,mean_pred
events_only,weekend,RandomForest,69,216,1.3798053118420037,1.9132815013905973,1.9953703703703705,2.4060881613098384
events_only,weekend,RandomForest,35,216,1.3579147053003868,1.9463039681128484,1.8287037037037037,2.0407652253680832
events_only,weekend,RandomForest,10,216,1.3429701776578662,1.6977833481436237,1.5324074074074074,1.9496300210566995
events_only,weekend,RandomForest,5,216,1.3267981227257761,1.7007568783442744,1.8564814814814814,2.2743024659709907
events_only,weekend,RandomForest,8,216,1.289073916794357,2.24450420470512,1.087962962962963,1.6559896411127075
events_only,weekend,RandomForest,77,216,1.2688747468625114,2.0132244757647557,1.4722222222222223,1.717567117697084
events_only,weekend,RandomForest,31,216,1.2508490487782042,1.8633483961014778,1.6574074074074074,2.0582788997186983
events_only,weekend,RandomForest,58,216,1.2495664905032682,1.9632912525952064,1.6990740740740742,1.8833608935301778
events_only,weekend,RandomForest,40,216,1.2485870717765348,1.6307081057466686,1.6851851851851851,1.9646981367864382
events_only,weekend,RandomForest,60,216,1.2479778344961556,1.7953743187242908,1.6111111111111112,1.8572534903085989
events_only,weekend,RandomForest,49,216,1.2443255441003784,1.7018004395352277,1.2731481481481481,1.710802797846668
events_only,weekend,RandomForest,27,216,1.2408774611632114,1.5998922157290512,1.8564814814814814,1.9878484839878754
events_only,weekend,RandomForest,66,216,1.22170686093768,1.607360367079915,1.3842592592592593,1.9392253726621589
events_only,weekend,RandomForest,42,216,1.214811265340671,1.6618364367971612,1.2685185185185186,1.8365271134596688
events_only,weekend,RandomForest,3,216,1.2043945644795442,1.5728245701175263,1.1435185185185186,1.7618228244047272
events_only,weekend,RandomForest,32,216,1.1953231512325264,1.8688732032437034,1.1898148148148149,1.5954210364837769
events_only,weekend,RandomForest,22,216,1.195190152195973,1.5657587321587008,1.2824074074074074,1.732626433180908
events_only,weekend,RandomForest,91,216,1.1804924894720121,1.592898444441635,1.6435185185185186,2.0308389377386558
events_only,weekend,RandomForest,6,216,1.1780503345158027,1.4871110403191123,1.337962962962963,1.6973710205785082
events_only,weekend,RandomForest,16,216,1.1557412650042538,1.800757517380132,0.7870370370370371,1.2712985911872026
events_only,weekend,RandomForest,21,216,1.1551529457606649,1.5478152681895916,1.2916666666666667,1.624030800180359
events_only,weekend,RandomForest,68,216,1.154431878071213,1.5274239706296027,1.7546296296296295,2.1611685276731327
events_only,weekend,RandomForest,43,216,1.1491577649336955,1.486979360184603,1.2962962962962963,1.7696214552401315
events_only,weekend,RandomForest,28,216,1.135425820618844,1.5524041649001172,1.2175925925925926,1.5279804223403997
events_only,weekend,RandomForest,52,216,1.1249267805063932,2.206919719064717,1.212962962962963,1.2549546508185982
events_only,weekend,RandomForest,18,216,1.1228601685904231,1.4492759284525165,1.6574074074074074,2.0393343731357803
events_only,weekend,RandomForest,38,216,1.1161398213211589,1.480876750937466,1.5138888888888888,1.977609025630977
events_only,weekend,RandomForest,86,216,1.1008636038952793,1.604520555085071,1.3009259259259258,1.5923185822499961
events_only,weekend,RandomForest,115,216,1.09952956400893,1.6410163829727649,1.6666666666666667,1.8374505667600498
events_only,weekend,RandomForest,112,216,1.0927748537181072,1.5147144149349017,1.5833333333333333,1.7644462866145398
events_only,weekend,RandomForest,88,216,1.0863956563367057,1.4842778027450623,0.8240740740740741,1.417659104526051
events_only,weekend,RandomForest,92,216,1.0839769909994024,1.5726674663816256,0.9212962962962963,1.388819657776229
events_only,weekend,RandomForest,71,216,1.0830070782628332,1.3621012665455878,1.2824074074074074,1.5156349659531183
events_only,weekend,RandomForest,19,216,1.0753399194070026,1.4988423464365048,1.5648148148148149,1.8523151641764646
events_only,weekend,RandomForest,50,216,1.07330233847122,1.420414837099279,1.5046296296296295,1.8387928145990615
events_only,weekend,RandomForest,76,216,1.0670038554746246,1.4989724297331206,0.9583333333333334,1.242100940886516
events_only,weekend,RandomForest,90,216,1.0659096706394595,1.4566731605899548,1.0509259259259258,1.5485514211430624
events_only,weekend,RandomForest,73,216,1.0393170698067333,1.3333985266514934,1.3101851851851851,1.4569629801691706
events_only,weekend,RandomForest,45,216,1.038198499515465,1.4712887566364812,0.9490740740740741,1.4310021942291593
events_only,weekend,RandomForest,56,216,1.022033267164946,1.5372754237130017,1.1527777777777777,1.4293676993220066
events_only,weekend,RandomForest,100,216,1.0113303300368646,1.489151220464824,1.1759259259259258,1.414546807325734
events_only,weekend,RandomForest,39,216,1.000183556789408,1.282619457307059,0.9675925925925926,1.4126344457996547
events_only,weekend,RandomForest,48,216,0.978209511224752,1.2913590904642482,0.9305555555555556,1.4327996793880384
events_only,weekend,RandomForest,65,216,0.9719868014834604,1.252839880062063,0.7592592592592593,1.3487049496083412
events_only,weekend,RandomForest,64,216,0.9657604777002157,1.4558697418607713,0.8518518518518519,1.2677850138405122
events_only,weekend,RandomForest,7,216,0.9646828691588352,1.2717022423696096,1.0231481481481481,1.4354036310702232
events_only,weekend,RandomForest,72,216,0.9492879485373855,1.243128318076389,1.1574074074074074,1.4180075564481682
events_only,weekend,RandomForest,4,216,0.9455673736999922,1.2359380398798288,0.7361111111111112,1.28209606724434
events_only,weekend,RandomForest,63,216,0.9290255539335971,1.5736428133161062,0.7361111111111112,1.050163178761903
events_only,weekend,RandomForest,101,216,0.9173239974816957,1.2186587734831822,0.9444444444444444,1.2111989928018811
events_only,weekend,RandomForest,74,216,0.9068495270071673,1.224281469570754,0.9861111111111112,1.2975792412602993
events_only,weekend,RandomForest,17,216,0.9047916743516496,1.3054668839834025,0.9629629629629629,1.362611193061392
events_only,weekend,RandomForest,95,216,0.8998275547154677,1.4026399016870583,0.9027777777777778,1.158545079912975
events_only,weekend,RandomForest,75,216,0.8976309022808117,1.2076911036535691,0.8981481481481481,1.2378816054660349
events_only,weekend,RandomForest,87,216,0.8852295863719047,1.2358694922521456,0.7592592592592593,1.1385526739264071
events_only,weekend,RandomForest,97,216,0.8769869496478434,1.223742590398363,0.8796296296296297,1.2981422963838032
events_only,weekend,RandomForest,26,216,0.8589904772779241,1.0958830277642184,0.7222222222222222,1.1484129265854517
events_only,weekend,RandomForest,111,216,0.8474712042544391,1.1420942786836876,0.875,1.1721351530708621
events_only,weekend,RandomForest,44,216,0.8331730528233522,1.1255452732734244,0.8009259259259259,1.0920565394716508
events_only,weekend,RandomForest,108,216,0.8321476293610045,1.0688851303885836,0.8194444444444444,1.0658117705749086
events_only,weekend,RandomForest,62,216,0.829807456402136,1.1003761136460009,0.8101851851851852,1.2689819306246672
events_only,weekend,RandomForest,107,216,0.8278664979031083,1.1434107026603162,0.7222222222222222,1.0480176255971625
events_only,weekend,RandomForest,83,216,0.8137128724641428,1.0685140908422526,0.875,1.174384789837464
events_only,weekend,RandomForest,2,216,0.810902701100082,1.0360153530204759,0.6388888888888888,0.9758117821055033
events_only,weekend,RandomForest,36,216,0.7813244202557336,1.0236545364588403,0.6435185185185185,1.0086833769905554
events_only,weekend,RandomForest,109,216,0.7805314535385386,1.0877861202016283,0.6018518518518519,1.0518310981674
events_only,weekend,RandomForest,117,216,0.7788639478563133,1.034792049975463,0.47685185185185186,0.9187994774283662
events_only,weekend,RandomForest,54,216,0.7727753955617822,1.0066752798559069,0.6111111111111112,0.8745882726594609
events_only,weekend,RandomForest,12,216,0.7716245840441787,0.9713507392041373,0.5972222222222222,1.0158141509373955
events_only,weekend,RandomForest,98,216,0.756964769956467,1.0927147301905396,0.6157407407407407,0.861815839612619
events_only,weekend,RandomForest,114,216,0.7471737738442572,1.015018925333044,0.6527777777777778,0.9377296974660214
events_only,weekend,RandomForest,30,216,0.7390570120868433,0.9528938268232823,0.4537037037037037,0.8711800294170504
events_only,weekend,RandomForest,85,216,0.7122055855503601,1.0261691152040717,0.6064814814814815,0.9740134160706702
events_only,weekend,RandomForest,99,216,0.7120396178253457,0.9266025703578595,0.4166666666666667,0.8756936561930879
events_only,weekend,RandomForest,51,216,0.6951437348340967,0.878332718180555,0.4212962962962963,0.7202973919856875
events_only,weekend,RandomForest,102,216,0.6945320989738301,0.9768856869888063,0.6898148148148148,0.8010297571391858
events_only,weekend,RandomForest,78,216,0.6888172838922458,0.8936096331837234,0.49074074074074076,0.910476447244583
events_only,weekend,RandomForest,84,216,0.6855029525284925,0.9125826457580343,0.5,0.9423917700012204
events_only,weekend,RandomForest,106,216,0.6728285372704905,0.9091280952969608,0.5277777777777778,0.7428250958007714
events_only,weekend,RandomForest,15,216,0.6589437863152915,0.8566533992338737,0.5925925925925926,0.9318948608894279
events_only,weekend,RandomForest,13,216,0.6491527366346425,0.8319346192239128,0.4027777777777778,0.674531170053741
events_only,weekend,RandomForest,11,216,0.6468824445795069,0.8589210974868156,0.3472222222222222,0.6622402787176002
events_only,weekend,RandomForest,110,216,0.6457975612593321,0.8681358622205023,0.5740740740740741,0.7992447888186249
events_only,weekend,RandomForest,37,216,0.6426881183527655,0.8192121904479432,0.4074074074074074,0.6896028246068355
events_only,weekend,RandomForest,96,216,0.6283060637470153,0.8878616895356195,0.3148148148148148,0.7082671927533652
events_only,weekend,RandomForest,59,216,0.6275711156263505,0.7733982794156321,0.37962962962962965,0.7263102724117408
events_only,weekend,RandomForest,80,216,0.6267284210936617,0.86400882718414,0.3888888888888889,0.763862428797492
events_only,weekend,RandomForest,41,216,0.6261373924099244,0.827498673543272,0.3472222222222222,0.6795241855176348
events_only,weekend,RandomForest,113,216,0.6245736557346311,0.8044831442420673,0.3055555555555556,0.6281936942087735
events_only,weekend,RandomForest,47,216,0.605535034386218,0.7948471914122497,0.35648148148148145,0.7470602560394235
events_only,weekend,RandomForest,61,216,0.5953907919962004,0.766718972384246,0.2916666666666667,0.655159473297559
events_only,weekend,RandomForest,57,216,0.5949004801593808,0.7552412646628881,0.39814814814814814,0.8054092747074295
events_only,weekend,RandomForest,82,216,0.5944460054043725,0.8299321786324012,0.375,0.731184392569673
events_only,weekend,RandomForest,116,216,0.5857717150596865,0.7900071486578101,0.3425925925925926,0.6463107773362853
events_only,weekend,RandomForest,20,216,0.5847899025399254,0.7706804516766576,0.2962962962962963,0.66168874602141
events_only,weekend,RandomForest,25,216,0.5836193485100318,0.7690100649848192,0.32407407407407407,0.7248888192145764
events_only,weekend,RandomForest,53,216,0.5463102146735187,0.6876252158485825,0.23148148148148148,0.5159081579892368
events_only,weekend,RandomForest,89,216,0.49728175767414845,0.6861537210157072,0.2824074074074074,0.5077514985775463
events_only,weekend,RandomForest,79,216,0.48110948496216005,0.6388452386353396,0.2361111111111111,0.5237858605562558
events_only,weekend,RandomForest,105,216,0.47358189692906616,0.6476946128250103,0.1527777777777778,0.464623021221585
events_only,weekend,RandomForest,55,216,0.4719625655244205,0.6121050473902768,0.16666666666666666,0.4778009402479113
events_only,weekend,RandomForest,104,216,0.4435446100142887,0.6697895791267326,0.16203703703703703,0.4516705987538277
events_only,weekend,RandomForest,93,216,0.43152425928551386,0.6034951556747289,0.0787037037037037,0.4500247300643285
events_only,weekend,RandomForest,94,216,0.41371279485272605,0.5734247721813901,0.05555555555555555,0.39572043605105195
events_only,weekend,RandomForest,103,216,0.4033374660802908,0.5585388082940337,0.17592592592592593,0.45948463821787155
events_only,weekend,Ridge,33,216,2.378098384842489,3.762718364481071,3.138888888888889,3.1930261765092474
